TotalCasesPer100K,TotalDeathsPer100K,NewPoverty,City,State
347847.30913642055,4148.936170212766,15.083854818523154,Baker, Oregon
204223.27731759,2610.794456594409,22.42115151446476,Benton, Oregon
321131.00744570734,5010.475995219545,8.976119981398233,Clackamas, Oregon
204271.3237421425,754.8460061544936,12.190089687278084,Clatsop, Oregon
209779.51281693787,2714.7608899157485,12.315328539845042,Columbia, Oregon
159083.61278428504,1540.026382288902,17.896487659128113,Coos, Oregon
257231.6618317447,5221.715706589308,15.320863839388496,Crook, Oregon
134267.32806006167,1756.267596192519,15.408656209500826,Curry, Oregon
290880.1569692165,2361.953217241517,12.100897781783129,Deschutes, Oregon
162631.0701271659,3702.498698594482,17.025994645645866,Douglas, Oregon
245602.0942408377,3979.057591623037,9.9,Gilliam, Oregon
257331.113885421,1303.925648494937,13.635802469135802,Grant, Oregon
236608.75608061152,4044.47533009034,17.528769979152187,Harney, Oregon
468144.5636062429,6295.230621675822,12.123144999564042,Hood River, Oregon
336345.5462818881,3405.007780449852,16.85834960154666,Jackson, Oregon
882309.4200026424,11582.331439644164,20.69485621174088,Jefferson, Oregon
181833.7790188608,3121.376340014672,18.646375748396714,Josephine, Oregon
339689.17567936017,4327.607622163652,18.68862431458088,Klamath, Oregon
324798.25797361345,4457.538106827206,20.13931087485589,Lake, Oregon
234119.3657815892,2853.597673542043,19.2304714819064,Lane, Oregon
325488.82829179615,6588.876910393811,18.376280465893,Lincoln, Oregon
268130.2344021012,4913.5239605530505,16.063928671721424,Linn, Oregon
1491187.008974064,25541.56668091121,24.298224910423723,Malheur, Oregon
597370.8817895434,10315.83916623544,16.12851630942978,Marion, Oregon
1248175.3788218417,12974.08768941092,14.69904958307182,Morrow, Oregon
428016.8023955589,7455.936199599471,16.474667801369506,Multnomah, Oregon
336449.67740315816,6878.718650365275,15.63995807496297,Polk, Oregon
355168.19571865443,0.0,13.7,Sherman, Oregon
133010.83591331268,356.03715170278633,15.512716718266253,Tillamook, Oregon
1217127.554211843,13893.087989991658,17.82522153878232,Umatilla, Oregon
624653.2351801627,5939.558310732275,17.61859744285161,Union, Oregon
189641.6083916084,6541.3752913752905,13.748776223776224,Wallowa, Oregon
471841.78767469927,11830.887219215949,13.67081792346323,Wasco, Oregon
377110.3586792548,3925.212080318701,10.32120173894499,Washington, Oregon
102756.18374558304,3745.583038869258,20.6,Wheeler, Oregon
348186.8979934744,5871.090010355,13.802658109137798,Yamhill, Oregon
